Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownstreamLength,TotalReach,LocationDetailBAComments,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID
EPA National Lakes Assessment,EPA National Lakes Assessment 2012,SWAMP National Lake Assessment EPA,Lake Henshaw,903PLH214,8/28/2012,9:40:00,X,2,m,Integrated,1,1,WPCL_9513_W_TN,L-501-12-02,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,1.39,,0.104,0.25,=,D,VAC,Com,,,,,BA,EPA_2012_NLA,MPSL-DFW,,Water_Grab,33.241451,-116.746727,Not Recorded,0000-00-00,Not Applicable,FieldAcidified,8/28/2012 0:00,None,1/1/1950,9/11/2012,5,,DFW-WPCL,DFW-WPCL,A,,,,,,,,,,,,,,,,,SAN DIEGO,73,San Diego,9,,,,,,,NULL,
EPA National Lakes Assessment,EPA National Lakes Assessment 2012,SWAMP National Lake Assessment EPA,unnamed NLA12 Lake 172,904L12172,5/23/2012,9:40:00,X,2,m,Integrated,1,1,WPCL_9005_W_TN,L-219-12-02,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,0.265,,0.0208,0.05,=,None,VAC,Com,,,,,BA,EPA_2012_NLA,MPSL-DFW,,Water_Grab,33.16016,-117.0459976,Not Recorded,0000-00-00,Not Applicable,FieldAcidified,5/23/2012 0:00,None,1/1/1950,6/5/2012,1,,DFW-WPCL,DFW-WPCL,A,,,,,,,,,,,,,,,,,San Diego,73,San Diego,9,,,,,,,Un-named waterbody,
Orange County NPDES MS4 Monitoring Program,San Diego Region Monitoring,OCPW San Diego Region Bioassessment,SMC00873,SMC00873,4/12/2017,11:30:00,Not Recorded,2,cm,Grab,1,1,Physis_C-31109_S_TN,44328-R1,sediment,EPA 9060,"Nitrogen, Total, Total",% dw,,,0.01,0.01,ND,None,NR,Com,,,,,WQ,Not Recorded,OCPW,,Sediment_Grab,33.598499,-117.6266785,Individual Collection by hand,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,5/12/2017,1,,PHYSIS,OCPW,A,,,,,,,,,,,,,,,,,Orange,59,San Diego,9,,,,,,,,
Orange County NPDES MS4 Monitoring Program,San Diego Region Monitoring,OCPW San Diego Region Bioassessment,Salt Creek upstream of Camino del Avion,901M14137,6/19/2017,11:00:00,Not Recorded,2,cm,Grab,1,1,Physis_C-31153_W_TN,45344-R1,sediment,EPA 9060,"Nitrogen, Total, Total",% dw,0.13,,0.01,0.01,=,None,NR,Com,,,,,WQ,Not Recorded,OCPW,,Sediment_Grab,33.494179,-117.7165985,Individual Collection by hand,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,7/10/2017,1,,PHYSIS,OCPW,A,,,,,,,,,,,,,,,,,Orange,59,San Diego,9,,,,,,,NULL,
Orange County NPDES MS4 Monitoring Program,San Diego Region Monitoring,OCPW San Diego Region Bioassessment,Trabuco Creek between Oso Pkwy Crown Valley Pkwy,901M14138,6/20/2017,8:45:00,Not Recorded,2,cm,Grab,1,1,Physis_C-31153_S_TN,45339-R1,sediment,EPA 9060,"Nitrogen, Total, Total",% dw,0.03,,0.01,0.01,=,None,NR,Com,,,,,WQ,Not Recorded,OCPW,,Sediment_Grab,33.576881,-117.6399994,Individual Collection by hand,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,7/10/2017,1,,PHYSIS,OCPW,A,,,,,,,,,,,,,,,,,Orange,59,San Diego,9,,,,,,,NULL,
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41025,RCFC_902MS41025,5/13/2020,13:00:00,Not Recorded,0.1,m,Grab,1,1,0E15030,C0E1650-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,21,,-88,0.2,=,None,NR,NR,Sigificant flows observed during sampling. Unusual amount of flows compared to previous visits. Lots of leaf litter in flows.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.524101,-117.1651001,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,5/15/2020,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920-D1-1025-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41032,RCFC_902MS41032,8/5/2019,9:10:00,Not Recorded,0.1,m,Grab,1,1,9H07096,B9H0420-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.4,,-88,0.2,=,None,NR,NR,Measureable flows observed in outfall. Flow enters riparian area and creek channel. Flows reported to D. Ortega.; Measureable flows observed in outfall. Flow enters riparian area and creek channel. Flows reported to D. Ortega.; Measureable flows observed ,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.552101,-117.1361008,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/7/2019,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819 D2-1032-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41032,RCFC_902MS41032,8/9/2021,12:00:00,Not Recorded,0.1,m,Grab,1,1,1H09151,C1H1209-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,2.4,,-88,0.2,=,None,NR,NR,Flows remained constant during sample event. Sonde #2 (SN:762912),,,,WQ,Not Recorded,RCFC,,Water_Grab,33.552101,-117.1361008,Not Recorded,0000-00-00,Not Applicable,LabFiltered,8/9/2021 21:15,None,1/1/1950,8/9/2021,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,2021-D2-1032-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41033,RCFC_902MS41033,2/27/2018,10:02:00,Not Recorded,0.1,m,Integrated,1,1,8C06082,B8B2422-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,4.6,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.552101,-117.1363983,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,3/6/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1718-W1-1033-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41033,RCFC_902MS41033,12/4/2019,16:05:00,Not Recorded,0.1,m,Integrated,1,1,9L06017,B9L0959-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.6,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,NV5_Oceanside,,Auto sampler automatically triggered,33.552101,-117.1363983,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,12/6/2019,1,,Babcock,NV5_Oceanside,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920-W1-1033-01C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41037,RCFC_902MS41037,5/14/2020,9:50:00,Not Recorded,0.1,m,Grab,1,1,0E15030,C0E1780-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,4.9,,-88,0.2,=,None,NR,NR,Flowing remained constant through sampling. There was significant amount of algae accumulation along pipe bottom.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.568001,-117.1103973,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,5/15/2020,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920-D1-1037-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS41061,RCFC_902MS41061,8/9/2021,10:45:00,Not Recorded,0.1,m,Grab,1,1,1H09151,C1H1222-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,5.3,,-88,0.2,=,None,NR,NR,Flows consistent during sample event. Sonde #2 (SN: 762912),,,,WQ,Not Recorded,RCFC,,Water_Grab,33.594299,-117.2065964,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,8/9/2021,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,2021-D2-1061-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS42240,RC_902MS42240,3/22/2018,20:46:00,Not Recorded,0.1,m,Integrated,1,1,8C30039,B8C2232-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,1.6,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.486599,-117.0635986,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,3/30/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1718-W1-2240-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS43015,TEM_902MS43015,2/27/2018,8:45:00,Not Recorded,0.1,m,Integrated,1,1,8C06082,B8B2419-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,1.2,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.516487,-117.1723404,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,3/6/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1718-W1-3015-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS43015,TEM_902MS43015,11/20/2019,18:35:00,Not Recorded,0.1,m,Integrated,1,1,9K22033,B9K2650-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,3,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,NV5_Oceanside,,Auto sampler automatically triggered,33.516487,-117.1723404,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,11/22/2019,1,,Babcock,NV5_Oceanside,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920-W1-3015-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS43038,TEM_902MS43038,8/10/2021,8:45:00,Not Recorded,0.1,m,Grab,1,1,1H21010,C1H1355-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1,,-88,0.2,=,None,NR,NR,"Flows decreased over sampling time but was measurable. Sonde #2 (SN:762912),",,,,WQ,Not Recorded,RCFC,,Water_Grab,33.509567,-117.1159439,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,8/21/2021,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,2021-D2-3038-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44063,MURR_902MS44063,8/26/2020,11:45:00,Not Recorded,0.1,m,Grab,1,1,0H28018,C0H3521-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,0.6,,-88,0.2,=,None,NR,NR,"Enough flow to sample due to sediment channelizing flow line. 3 of 4 culverts observed to have trickle flow. 1 of 4 culverts observed to have flowing water, so sample team collected sample.",,,,WQ,Not Recorded,RCFC,,Water_Grab,33.581207,-117.2565918,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,8/28/2020,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1920 D2-4063-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44063,MURR_902MS44063,6/21/2021,8:20:00,Not Recorded,0.1,m,Grab,1,1,1F22090,C1F2552-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.4,,-88,0.2,=,None,NR,NR,Flows remained constant during sample event. Significant vegetation just downstream of sample location.,,,,WQ,Not Recorded,RCFC,,Water_Grab,33.581207,-117.2565918,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,6/22/2021,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,2021-D1-4063-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS44063,MURR_902MS44063,8/9/2021,8:30:00,Not Recorded,0.1,m,Grab,1,1,1H09151,C1H1224-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,1.3,,-88,0.2,=,None,NR,NR,Flows remained consistent during sample event. Significant vegetation growth due to dry weather flows. Sonde #2 (SN:762912),,,,WQ,Not Recorded,RCFC,,Water_Grab,33.581207,-117.2565918,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,8/9/2021,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,2021-D2-4063-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS45026,WILD_902MS45026,6/3/2019,11:40:00,Not Recorded,0.1,m,Grab,1,1,9F06024,B9F0148-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,0.6,,-88,0.2,=,None,NR,NR,"Flow Data Unavailable. Overwatering, irrigation water follow up with IC/ID ; Flow Data Unavailable. Overwatering, irrigation water follow up with IC/ID ; Flow Data Unavailable. Overwatering, irrigation water follow up with IC/ID ; Water in outfall flowing",,,,WQ,Not Recorded,RCFC,,Water_Grab,33.597111,-117.2228088,Not Recorded,0000-00-00,Not Recorded,None,1/1/1950 0:00,None,1/1/1950,6/6/2019,1,,Babcock,WoodGroup,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-D1-5026-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,902MS45031,WILD_902MS45031,12/6/2018,10:02:00,Not Recorded,0.1,m,Integrated,1,1,8L11201,B8L0774-01,runoff,Calculated,"Nitrogen, Total, Total",mg/L,4.3,,-88,0.2,=,None,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.603699,-117.2787018,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,12/11/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,RIVERSIDE,65,San Diego,9,,,,,,,NULL,1819-W1-5031-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,5/7/2014,8:02:00,Not Recorded,0.1,m,Integrated,1,1,14E0924,B4E0562-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,10000,,-88,0.2,=,None,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,5/9/2014,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1314-D2-848-01C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,11/1/2014,8:59:00,Not Recorded,0.1,m,Integrated,1,1,14K0528,B4K0005-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.3,,-88,0.5,=,J,NR,NR,,,   ,,WQ,Not Recorded,RCFC,,3 hour auto sampler,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,11/5/2014,1, ,Babcock,AMEC,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1415-W1-848-01
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,3/23/2018,22:56:00,Not Recorded,0.1,m,Integrated,1,1,8C30039,B8C2322-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.57,,0.17,0.61,DNQ,J,NR,NR,,,,,WQ,Not Recorded,ALTA,,Auto sampler automatically triggered,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,3/30/2018,1,,Babcock,ALTA,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1718-W2-848-01-C
Riverside County NPDES MS4 Monitoring Program,San Diego Region,Santa Margarita River General Monitoring,Adobe Creek,902ADB848,5/16/2018,8:11:00,Not Recorded,0.1,m,Integrated,1,1,[CALC]_180516,B8E1798-02,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,0.26,,0.12,0.61,=,J,NR,NR,,,,,WQ,Not Recorded,RCFC,,24 hour auto sampler,33.51302,-117.2685776,Not Recorded,0000-00-00,Not Applicable,Not Recorded,1/1/1950 0:00,Not Recorded,1/1/1950,5/21/2018,1,,RCFC,WoodGroup,NR,,,,,,,,,,,,,,,,,Riverside,65,San Diego,9,,,,,,,,1718-D1-848-01-C
